url,category,poster,title,rating,duration,year,genre,language,synopsis,director,cast
https://www.visionplus.id/movies/17221/cantik-cantik-koq-tukang-sedot-tinja,Rom-Com,https://static.mncnow.id/images/vod/387e0311/8af7_r32.jpg,Calo Cinta,D,1h 14m,2015,Drama,"English, Bahasa","Calo mobil merupakan pekerjaan yang digeluti Niko untuk bertahan hidup. Mobil yang sesuai dengan kriteria sang calon pembeli mirip dengan mobil milik Vina yang akan dijual. Namun, semuanya berantakan ketika Vina memiliki masalah pribadi dengan calon pembeli. Niko menjalani kehidupan lebih sulit, hingga tanpa sadar Niko sering sekali meminta bantuan Vina.",Other,"Jessica Iskandar, Andhika Pratama, Guntur Triyoga, Olivia Zalianty"
https://www.visionplus.id/movies/17257/cinta-laundry-kiloan,Rom-Com,https://static.mncnow.id/images/vod/f2deef88/4e71_r32.jpg,Cinta Laundry Kiloan,D,1h 0m,2016,Drama,"English, Bahasa",Raffi adalah seorang caleg playboy yang terkenal di berbagai media. Sedangkan Cinta bekerja di sebuah laundry kiloan. Saat itulah Raffi mulai melihat kebaikan hati Cinta. Bagaimana kisah cinta mereka selanjutnya ?,Rievy Indriasari,"Vicky Nitinegoro, Eriska Rein"
https://www.visionplus.id/movies/200/cinta-pengamen-badut,Rom-Com,https://static.mncnow.id/images/vod/7ffd274d/b8c7_r32.jpg,Cinta Laundry Kiloan,D,1h 0m,2016,Drama,"English, Bahasa",Raffi adalah seorang caleg playboy yang terkenal di berbagai media. Sedangkan Cinta bekerja di sebuah laundry kiloan. Saat itulah Raffi mulai melihat kebaikan hati Cinta. Bagaimana kisah cinta mereka selanjutnya ?,Rievy Indriasari,"Vicky Nitinegoro, Eriska Rein"
https://www.visionplus.id/movies/579/cintaku-ditangan-hansip,Rom-Com,https://static.mncnow.id/images/vod/42128d95/1e98_r32.jpg,Cintaku Ditangan Hansip,R,1h 18m,2015,Drama,"English, Bahasa","Untuk memenuhi permintaan ibunya, Yoga harus membujuk Babeh Ali untuk menjual tanah miliknya. Suatu saat ia mendapat informasi bahwa satu-satunya orang yang dapat membantunya adalah Ayu, anak dari Babeh Ali. Setelah mendengar informasi tersebut Yoga langsung memikirkan strategi untuk memanfaatkan Ayu agar membujuk Babeh Ali untuk menjual tanah miliknya.",Joe Sandjaya,"Ryan Delon, Yurike Prastika"
https://www.visionplus.id/movies/256/cintaku-mampir-di-kursus-nyetir,Rom-Com,https://static.mncnow.id/images/vod/b40f33d5/50d1_r32.jpg,Cintaku Ditangan Hansip,R,1h 18m,2015,Drama,"English, Bahasa","Untuk memenuhi permintaan ibunya, Yoga harus membujuk Babeh Ali untuk menjual tanah miliknya. Suatu saat ia mendapat informasi bahwa satu-satunya orang yang dapat membantunya adalah Ayu, anak dari Babeh Ali. Setelah mendengar informasi tersebut Yoga langsung memikirkan strategi untuk memanfaatkan Ayu agar membujuk Babeh Ali untuk menjual tanah miliknya.",Joe Sandjaya,"Ryan Delon, Yurike Prastika"
https://www.visionplus.id/movies/444/dari-panci-turun-ke-hati,Rom-Com,https://static.mncnow.id/images/vod/bb71417e/2fd7_r32.jpg,Dari Panci Turun Ke Hati,R,1h 19m,2013,Drama,"English, Bahasa",FTV Unggulan Persembahan MNC,Joe Sandjaya,"Dion Wiyoko, Sylvia Fully"
https://www.visionplus.id/movies/20185/i-love-you-ob,Rom-Com,https://static.mncnow.id/images/vod/e03c38dd/25ff_r32.jpg,Dari Panci Turun Ke Hati,R,1h 19m,2013,Drama,"English, Bahasa",FTV Unggulan Persembahan MNC,Joe Sandjaya,"Dion Wiyoko, Sylvia Fully"
https://www.visionplus.id/movies/1397/insom-cinta-ronda,Rom-Com,https://static.mncnow.id/images/vod/f1b504b6/c7f7_r32.jpg,Insom Cinta Ronda,R,1h 20m,2014,Drama,"English, Bahasa",Bagaimana jika penampilan security adalah seorang wanita cantik ?,M. Haikal,"Pamela Bowie, Riza Shahab"
https://www.visionplus.id/movies/33373/ku-derek-cintamu-ke-pelaminan,Rom-Com,https://static.mncnow.id/images/vod/c05e712f/43d4_r32.jpg,Insom Cinta Ronda,R,1h 20m,2014,Drama,"English, Bahasa",Bagaimana jika penampilan security adalah seorang wanita cantik ?,M. Haikal,"Pamela Bowie, Riza Shahab"
https://www.visionplus.id/movies/38811/kutunggu-kau-di-salon-cinta,Rom-Com,https://static.mncnow.id/images/vod/9370f268/c7f0_r32.jpg,Kutunggu Kau di Salon Cinta,R,1h 0m,2021,Drama,"English, Bahasa",Kutunggu Kau di Salon Cinta,Other,Vanessa Angel
