tenant_page_url,tenant_logo_url,category,subcategory,tenant_name,tenant_photo_url,buildings,floors,products,where_to_park,pickup_point_stripped,takeaway,contact_phone_stripped,catalogue,whatsapp_chat,go_food,grab_food,shopee_food
https://www.malkelapagading.com/directory/hai-shien-fang,http://images.malkelapagading.com/tenant/Hai-Shien-Fanglogo-42.jpg,Dining,Food & Beverages,Hai Shien Fang,http://images.malkelapagading.com/tenant/Hai-Shien-Fangfoto-65.jpeg,['MKG-5'],['Lantai 3 R 08A'],Shi Chuan Cuisine & Hotpot,,Gading Walk,,,,,,available,available
https://www.malkelapagading.com/directory/hakata-ikkousha,http://images.malkelapagading.com/tenant/Hakata-Ikkoushalogo.jpg,Dining,Food & Beverages,Hakata Ikkousha,http://images.malkelapagading.com/tenant/Hakata-Ikkoushafoto.jpg,['MKG-1'],['Lantai Dasar 203 C'],"Ramen, Fried Rice, Gyoza",Gedung Parkir 2 Basement P1/P1A,,,,,,,,
https://www.malkelapagading.com/directory/happy-cars,http://images.malkelapagading.com/tenant/Happy-Car-slogo.jpg,Shopping,Specialist Shop & Services,Happy Car`s,http://images.malkelapagading.com/tenant/Happy-Carsfoto.jpg,['MKG-5'],['Lantai Dasar K-103'],Jasa peminjaman keranjang roda berbetuk mobil khusus untuk anak-anak.,Gedung Parkir 3/5 Basement,,,02145853811,,,,,
https://www.malkelapagading.com/directory/happy-dental-clinic,http://images.malkelapagading.com/tenant/Happy-Dental-Cliniclogo-90.jpg,Shopping,Health & Beauty,Happy Dental Clinic,,['MKG-2'],['Lantai 2 320'],Dental Clinic,,,,08119901166,,,,available,available
https://www.malkelapagading.com/directory/hasami-kushi-salon,http://images.malkelapagading.com/tenant/Hasami-Kushi-Salonlogo.jpg,Shopping,Health & Beauty,Hasami Kushi Salon,http://images.malkelapagading.com/tenant/Hasami-Kushi-Salonfoto.jpg,['MKG-2'],['Lantai 2 304-306'],Salon,Gedung Parkir 3,,,02145853748,,,,,
https://www.malkelapagading.com/directory/havaianas,http://images.malkelapagading.com/tenant/Havainaslogo.jpg,Shopping,Bags & Shoes,Havaianas,http://images.malkelapagading.com/tenant/Havaianasfoto.jpg,['MKG-3'],['Lantai 1 28'],"Sandal, Flip flop",Gedung Parkir 2/3,,,,,,,,
https://www.malkelapagading.com/directory/headquarters,http://images.malkelapagading.com/tenant/Headquarterslogo.jpg,Shopping,Health & Beauty,Headquarters,http://images.malkelapagading.com/tenant/Headquartersfoto.jpg,"['MKG-3', 'MKG-3']","['Basement KB 05', 'Basement KB 05']",Hair & beauty bar,Gedung Parkir 3/5 Basement,,,02145865016,,available,,,
https://www.malkelapagading.com/directory/her-glam-nail-salon,http://images.malkelapagading.com/tenant/Her-Glam-Nail-Salonlogo1.jpg,Shopping,Health & Beauty,Her Glam Nail Salon,http://images.malkelapagading.com/tenant/Her-Glam-Nail-Salonfoto.jpg,['MKG-3'],['Basement KB 02'],Nail salon,Gedung Parkir 3 Basement - P1/P1A,,,02145876401,,,,,
https://www.malkelapagading.com/directory/hillary-farm,http://images.malkelapagading.com/tenant/Hillary-Farmlogo.jpg,Shopping,Health & Beauty,Hillary Farm,http://images.malkelapagading.com/tenant/Hillary-Farmfoto.jpg,['MKG-2'],['Lantai 1 TK 102'],"Madu Hanuka, Madu kesehatan dari New Zealand",Gedung Parkir 2 Lantai 1 P2,,,085921558612,available,available,available,,
https://www.malkelapagading.com/directory/hoka-hoka-bento,http://images.malkelapagading.com/tenant/Hoka-Hoka-Bentologo1.jpg,Dining,F & B Delivery,Hoka-Hoka Bento,http://images.malkelapagading.com/tenant/Hoka-Hoka-Bentofoto.jpg,['MKG-1'],['Lantai 2 365-367'],"Bento, Beef/Chicken Teriyaki, Beef/Chicken Yakiniku, Chicken Katsu, Egg Roll,  Ekado, Kani Roll, Eby Furai, Shrimp Roll, Tempura, Soup & Sukiyaki, Takoyaki, Siumay, Edamame, Es Ogura, Es Sarang Burung, Pudding",Gedung Parkir 2 Lt. 3 P3/P3A,,,0214529777,,,available,available,
